Site,Date,State,Country,Latitude,Longitude,EnglishName,LatinName,OrigBflyName,ButterflyCount,ObserverCount,HoursObserved
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Gray Hairstreak,Strymon melinus,Strymon melinus,3,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Arizona Powdered-Skipper,Systasea zampa,Systasea zampa,3,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Elada Checkerspot,Texola elada,Texola elada,44,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Drusius Cloudywing,Thorybes drusius,Thorybes drusius,24,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Northern Cloudywing,Thorybes pylades,Thorybes pylades,28,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Red Admiral,Vanessa atalanta,Vanessa atalanta,2,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Painted Lady,Vanessa cardui,Vanessa cardui,11,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,American Lady,Vanessa virginiensis,Vanessa virginiensis,2,4,26
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Desert Cloudywing,Achalarus casica,Achalarus casica,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,California Sister,Adelpha bredowii,Adelpha bredowii,7,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Gulf Fritillary,Agraulis vanillae,Agraulis vanillae,35,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Bronze Roadside-Skipper,Amblyscirtes aenus,Amblyscirtes aenus,27,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Dotted Roadside-Skipper,Amblyscirtes eos,Amblyscirtes eos,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Large Roadside-Skipper,Amblyscirtes exoteria,Amblyscirtes exoteria,2,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Nysa Roadside-Skipper,Amblyscirtes nysa,Amblyscirtes nysa,3,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Mormon Metalmark,Apodemia mormo,Apodemia mormo,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Palmer's Metalmark,Apodemia palmeri,Apodemia palmerii,4,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Creamy Stripe-streak,Arawacus jada,Dolymorpha jada,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Asterocampa,Asterocampa,Asterocampa texana,36,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Hackberry Emperor,Asterocampa celtis,Asterocampa montis,7,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Empress Leilia,Asterocampa leilia,Asterocampa leilia,74,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Sachem,Atalopedes campestris,Atalopedes campestris,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Sheep Skipper,Atrytonopsis edwardsii,Atrytonopsis edwardsi,11,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Moon-marked Skipper,Atrytonopsis lunus,Atrytonopsis lunus,2,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Pipevine Swallowtail,Battus philenor,Battus philenor,82,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Arizona Metalmark,Calephelis arizonensis,Calephelis arizonensis,71,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Fatal Metalmark,Calephelis nemesis,Calephelis nemesis,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,'Siva' Juniper Hairstreak,Callophrys gryneus siva,Mitoura siva,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Common Streaky-Skipper,Celotes nessus,Celotes nessus,7,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,White-striped Longtail,Chioides catillus,Chiodes albofasciatus,20,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Bordered Patch,Chlosyne lacinia,Chlosyne lacinia,3,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Theona Checkerspot,Chlosyne theona,Thessalia theona,3,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Arizona Skipper,Codatractus arizonensis,Codatractus arizonensis,36,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Valeriana Skipper,Codatractus mysie,Phoedinus mysie,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Gold-costa Skipper,Cogia caicus,Cogia caicus,2,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Acacia Skipper,Cogia hippalus,Cogia hippalus,41,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Southern Dogface,Colias cesonia,Colias cesonia,132,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Orange Sulphur,Colias eurytheme,Colias eurytheme,10,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Orange Skipperling,Copaeodes aurantiacus,Copaeodes aurantiaca,39,5,41
