Year,Month,Day,DataSource,Site,AcceptedName,ButterflyCount,HoursObserved
1992,8,16,Helen,AtascosaHighlandsAZ,Celastrina ladon,1,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Celotes nessus,36,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Chioides catillus,12,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Chlosyne lacinia,3,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Chlosyne theona,22,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Codatractus arizonensis,6,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Cogia hippalus,14,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Colias cesonia,142,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Colias eurytheme,11,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Copaeodes aurantiacus,139,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Danaus gilippus,102,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Danaus plexippus,10,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Dymasia dymas,402,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Emesis ares,3,NA
1992,8,16,Helen,AtascosaHighlandsAZ,Emesis zela,1,NA
