,,,,,,,,,,Values,
sp,site,year,fullDate,state,hours,date,Common Name,Season,Survey,Sum of count,Sum of PreserveOfficial
Limenitis archippus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Viceroy,Summer,2019 Summer,1,1
Limenitis arthemis,Cottonwood,2019,08/29/2019,AZ,11,241,Red-spotted purple,Summer,2019 Summer,1,1
Limenitis arthemis,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Red-spotted purple,Summer,2019 Summer,6,6
Limenitis arthemis,PortalAZ,2019,07/25/2019,AZ,4,206,Red-spotted purple,Summer,2019 Summer,5,5
Limenitis arthemis,PortalAZ,2020,08/02/2020,AZ,21,215,Red-spotted purple,Summer,2020 Summer,6,6
Limenitis arthemis,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Red-spotted purple,Summer,2019 Summer,7,7
Limenitis arthemis,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Red-spotted purple,Summer,2020 Summer,12,12
Limenitis arthemis,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Red-spotted purple,Summer,2019 Summer,3,3
Limenitis arthemis,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Red-spotted purple,Spring,2020 Spring,6,6
Limenitis arthemis,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Red-spotted purple,Summer,2020 Summer,2,2
Limenitis arthemis,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Red-spotted purple,Summer,2019 Summer,20,20
Limenitis arthemis,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Red-spotted purple,Fall,2019 Fall,21,21
Limenitis arthemis,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Red-spotted purple,Summer,2020 Summer,9,9
Limenitis arthemis,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Red-spotted purple,Fall,2020 Fall,3,3
Limenitis weidemeyerii,GrandCanyonN,2019,07/25/2019,AZ,6,206,Weidemeyer's admiral,Summer,2019 Summer,1,1
Megisto rubricata,Cottonwood,2019,08/29/2019,AZ,11,241,Red satyr,Summer,2019 Summer,1,1
Megisto rubricata,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Red satyr,Summer,2019 Summer,20,20
Megisto rubricata,PortalAZ,2019,07/25/2019,AZ,4,206,Red satyr,Summer,2019 Summer,8,8
Megisto rubricata,PortalAZ,2020,08/02/2020,AZ,21,215,Red satyr,Summer,2020 Summer,8,8
Megisto rubricata,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Red satyr,Summer,2019 Summer,26,26
Megisto rubricata,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Red satyr,Summer,2020 Summer,48,48
Megisto rubricata,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Red satyr,Summer,2019 Summer,10,10
Megisto rubricata,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Red satyr,Summer,2019 Summer,14,14
Megisto rubricata,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Red satyr,Fall,2019 Fall,21,21
Megisto rubricata,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Red satyr,Summer,2020 Summer,19,19
Megisto rubricata,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Red satyr,Fall,2020 Fall,54,54
Microtia dymas,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Tiny checkerspot,Spring,2019 Spring,3,3
Microtia dymas,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Tiny checkerspot,Fall,2021 Fall,25,23
Microtia dymas,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Tiny checkerspot,Summer,2019 Summer,349,349
Microtia dymas,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Tiny checkerspot,Summer,2019 Summer,1,1
Microtia dymas,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Tiny checkerspot,Spring,2020 Spring,232,232
Microtia dymas,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Tiny checkerspot,Summer,2019 Summer,6,6
Microtia dymas,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Tiny checkerspot,Fall,2019 Fall,16,16
Microtia dymas,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Tiny checkerspot,Summer,2020 Summer,84,84
Microtia dymas,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Tiny checkerspot,Fall,2020 Fall,3,3
Microtia elva,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Elf,Summer,2019 Summer,3,3
Ministrymon leda,Cottonwood,2019,08/29/2019,AZ,11,241,Leda ministreak,Summer,2019 Summer,1,1
Ministrymon leda,Cottonwood,2020,08/26/2020,AZ,20,239,Leda ministreak,Summer,2020 Summer,1,1
Ministrymon leda,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Leda ministreak,Fall,2021 Fall,3,3
Ministrymon leda,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Leda ministreak,Summer,2019 Summer,55,55
Ministrymon leda,PortalAZ,2019,07/25/2019,AZ,4,206,Leda ministreak,Summer,2019 Summer,6,6
Ministrymon leda,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Leda ministreak,Summer,2019 Summer,5,5
Ministrymon leda,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Leda ministreak,Summer,2020 Summer,7,7
Ministrymon leda,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Leda ministreak,Summer,2019 Summer,4,4
Ministrymon leda,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Leda ministreak,Summer,2020 Summer,20,20
Ministrymon leda,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Leda ministreak,Summer,2019 Summer,2,2
Ministrymon leda,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Leda ministreak,Summer,2020 Summer,8,8
Ministrymon leda,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Leda ministreak,Fall,2020 Fall,1,1
Nathalis iole,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Dainty sulphur,Fall,2019 Fall,1,1
Nathalis iole,Cottonwood,2019,08/29/2019,AZ,11,241,Dainty sulphur,Summer,2019 Summer,3,3
Nathalis iole,Cottonwood,2020,08/26/2020,AZ,20,239,Dainty sulphur,Summer,2020 Summer,4,4
Nathalis iole,GrandCanyonN,2019,07/25/2019,AZ,6,206,Dainty sulphur,Summer,2019 Summer,2,2
Nathalis iole,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Dainty sulphur,Spring,2019 Spring,150,145
Nathalis iole,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Dainty sulphur,Spring,2020 Spring,5,4
Nathalis iole,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Dainty sulphur,Fall,2021 Fall,894,879
Nathalis iole,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Dainty sulphur,Summer,2019 Summer,1,1
Nathalis iole,PortalAZ,2019,07/25/2019,AZ,4,206,Dainty sulphur,Summer,2019 Summer,14,14
Nathalis iole,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Dainty sulphur,Summer,2019 Summer,2,2
Nathalis iole,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Dainty sulphur,Summer,2020 Summer,4,4
Nathalis iole,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Dainty sulphur,Summer,2019 Summer,1,1
Nathalis iole,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Dainty sulphur,Spring,2020 Spring,164,164
Nathalis iole,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Dainty sulphur,Summer,2020 Summer,1,1
Nathalis iole,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Dainty sulphur,Summer,2019 Summer,1,1
Nathalis iole,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Dainty sulphur,Fall,2019 Fall,3,3
Nathalis iole,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Dainty sulphur,Summer,2020 Summer,4,4
Nathalis iole,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Dainty sulphur,Fall,2020 Fall,10,10
Neophasia terlooii,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Chiricahua white,Summer,2019 Summer,1,1
Neophasia terlooii,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Chiricahua white,Summer,2020 Summer,1,1
Neophasia terlooii,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Chiricahua white,Fall,2020 Fall,3,3
Nymphalis antiopa,Cottonwood,2019,08/29/2019,AZ,11,241,Mourning cloak,Summer,2019 Summer,3,3
Nymphalis antiopa,Cottonwood,2020,08/26/2020,AZ,20,239,Mourning cloak,Summer,2020 Summer,1,1
Nymphalis antiopa,GrandCanyonN,2019,07/25/2019,AZ,6,206,Mourning cloak,Summer,2019 Summer,1,1
Nymphalis antiopa,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Mourning cloak,Summer,2019 Summer,4,4
Nymphalis antiopa,PortalAZ,2019,07/25/2019,AZ,4,206,Mourning cloak,Summer,2019 Summer,2,2
Nymphalis antiopa,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Mourning cloak,Summer,2019 Summer,3,3
Nymphalis antiopa,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Mourning cloak,Summer,2020 Summer,17,17
Nymphalis antiopa,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Mourning cloak,Summer,2019 Summer,3,3
Nymphalis antiopa,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Mourning cloak,Spring,2020 Spring,13,13
Nymphalis antiopa,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Mourning cloak,Summer,2020 Summer,3,3
Nymphalis antiopa,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Mourning cloak,Summer,2019 Summer,11,11
Nymphalis antiopa,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Mourning cloak,Fall,2019 Fall,1,1
Nymphalis antiopa,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Mourning cloak,Summer,2020 Summer,2,2
Nymphalis antiopa,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Mourning cloak,Fall,2020 Fall,1,1
Oarisma edwardsii,PortalAZ,2019,07/25/2019,AZ,4,206,Edwards' skipperling,Summer,2019 Summer,2,2
Oarisma edwardsii,PortalAZ,2020,08/02/2020,AZ,21,215,Edwards' skipperling,Summer,2020 Summer,3,3
Oarisma edwardsii,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Edwards' skipperling,Summer,2019 Summer,2,2
Oarisma edwardsii,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Edwards' skipperling,Summer,2020 Summer,2,2
Papilio cresphontes,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Giant swallowtail,Summer,2019 Summer,1,1
Papilio cresphontes,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Giant swallowtail,Summer,2020 Summer,2,2
Papilio cresphontes,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Giant swallowtail,Summer,2019 Summer,3,3
Papilio cresphontes,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Giant swallowtail,Spring,2020 Spring,4,4
Papilio cresphontes,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Giant swallowtail,Fall,2019 Fall,3,3
Papilio cresphontes,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Giant swallowtail,Summer,2020 Summer,4,4
Papilio cresphontes,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Giant swallowtail,Fall,2020 Fall,1,1
Papilio multicaudata,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Two-tailed swallowtail,Fall,2019 Fall,3,3
Papilio multicaudata,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Two-tailed swallowtail,Fall,2020 Fall,5,5
Papilio multicaudata,Cottonwood,2019,08/29/2019,AZ,11,241,Two-tailed swallowtail,Summer,2019 Summer,21,21
Papilio multicaudata,Cottonwood,2020,08/26/2020,AZ,20,239,Two-tailed swallowtail,Summer,2020 Summer,9,9
Papilio multicaudata,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Two-tailed swallowtail,Spring,2019 Spring,2,2
Papilio multicaudata,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Two-tailed swallowtail,Summer,2019 Summer,25,25
Papilio multicaudata,PortalAZ,2019,07/25/2019,AZ,4,206,Two-tailed swallowtail,Summer,2019 Summer,30,30
Papilio multicaudata,PortalAZ,2020,08/02/2020,AZ,21,215,Two-tailed swallowtail,Summer,2020 Summer,17,17
Papilio multicaudata,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Two-tailed swallowtail,Summer,2019 Summer,17,17
Papilio multicaudata,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Two-tailed swallowtail,Summer,2020 Summer,38,38
Papilio multicaudata,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Two-tailed swallowtail,Summer,2019 Summer,3,3
Papilio multicaudata,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Two-tailed swallowtail,Spring,2020 Spring,43,43
Papilio multicaudata,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Two-tailed swallowtail,Summer,2019 Summer,30,30
Papilio multicaudata,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Two-tailed swallowtail,Fall,2019 Fall,6,6
Papilio multicaudata,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Two-tailed swallowtail,Summer,2020 Summer,36,36
Papilio polyxenes,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Black swallowtail,Fall,2019 Fall,1,1
Papilio polyxenes,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Black swallowtail,Spring,2019 Spring,2,2
Papilio polyxenes,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Black swallowtail,Spring,2020 Spring,1,1
Papilio polyxenes,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Black swallowtail,Summer,2019 Summer,12,12
Papilio polyxenes,PortalAZ,2019,07/25/2019,AZ,4,206,Black swallowtail,Summer,2019 Summer,7,7
Papilio polyxenes,PortalAZ,2020,08/02/2020,AZ,21,215,Black swallowtail,Summer,2020 Summer,6,6
Papilio polyxenes,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Black swallowtail,Summer,2019 Summer,2,2
Papilio polyxenes,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Black swallowtail,Summer,2020 Summer,138,138
Papilio polyxenes,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Black swallowtail,Summer,2019 Summer,1,1
Papilio polyxenes,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Black swallowtail,Spring,2020 Spring,3,3
Papilio polyxenes,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Black swallowtail,Summer,2019 Summer,3,3
Papilio polyxenes,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Black swallowtail,Fall,2019 Fall,2,2
Papilio rutulus,GrandCanyonN,2019,07/25/2019,AZ,6,206,Western tiger swallowtail,Summer,2019 Summer,3,3
Paratrytone snowi,PortalAZ,2019,07/25/2019,AZ,4,206,Snow's skipper,Summer,2019 Summer,2,2
Paratrytone snowi,PortalAZ,2020,08/02/2020,AZ,21,215,Snow's skipper,Summer,2020 Summer,8,8
Parmercera allyni,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Pine satyr,Summer,2020 Summer,1,1
Phoebis agarithe,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Large orange sulphur,Summer,2020 Summer,1,1
Phoebis sennae,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Cloudless sulphur,Fall,2019 Fall,6,6
Phoebis sennae,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Cloudless sulphur,Fall,2020 Fall,1,1
Phoebis sennae,Cottonwood,2020,08/26/2020,AZ,20,239,Cloudless sulphur,Summer,2020 Summer,1,1
Phoebis sennae,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Cloudless sulphur,Spring,2019 Spring,6,6
Phoebis sennae,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Cloudless sulphur,Fall,2019 Fall,3,3
Phoebis sennae,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Cloudless sulphur,Fall,2021 Fall,260,258
Phoebis sennae,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Cloudless sulphur,Summer,2019 Summer,63,63
Phoebis sennae,PortalAZ,2019,07/25/2019,AZ,4,206,Cloudless sulphur,Summer,2019 Summer,1,1
Phoebis sennae,PortalAZ,2020,08/02/2020,AZ,21,215,Cloudless sulphur,Summer,2020 Summer,33,33
Phoebis sennae,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Cloudless sulphur,Summer,2019 Summer,12,12
Phoebis sennae,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Cloudless sulphur,Summer,2020 Summer,52,52
Phoebis sennae,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Cloudless sulphur,Summer,2019 Summer,2,2
Phoebis sennae,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Cloudless sulphur,Summer,2020 Summer,14,14
Phoebis sennae,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Cloudless sulphur,Summer,2019 Summer,11,11
Phoebis sennae,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Cloudless sulphur,Fall,2019 Fall,9,9
Phoebis sennae,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Cloudless sulphur,Summer,2020 Summer,223,223
Phoebis sennae,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Cloudless sulphur,Fall,2020 Fall,7,7
Pholisora catullus,Cottonwood,2019,08/29/2019,AZ,11,241,Common sootywing,Summer,2019 Summer,1,1
Pholisora catullus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Common sootywing,Summer,2019 Summer,139,139
Pholisora catullus,PortalAZ,2019,07/25/2019,AZ,4,206,Common sootywing,Summer,2019 Summer,3,3
Pholisora catullus,PortalAZ,2020,08/02/2020,AZ,21,215,Common sootywing,Summer,2020 Summer,2,2
Pholisora catullus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Common sootywing,Summer,2019 Summer,23,23
Pholisora catullus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Common sootywing,Summer,2020 Summer,24,24
Pholisora catullus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Common sootywing,Spring,2020 Spring,1,1
Pholisora catullus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Common sootywing,Summer,2019 Summer,12,12
Pholisora catullus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Common sootywing,Summer,2020 Summer,8,8
Phyciodes graphica,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Vesta crescent,Summer,2019 Summer,3,3
Phyciodes picta,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Painted crescent,Summer,2019 Summer,26,26
Phyciodes picta,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Painted crescent,Summer,2019 Summer,2,2
Phyciodes picta,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Painted crescent,Summer,2020 Summer,4,4
Phyciodes texana,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Texan crescent,Spring,2019 Spring,1,1
Phyciodes texana,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Texan crescent,Fall,2021 Fall,2,2
Phyciodes texana,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Texan crescent,Summer,2019 Summer,114,114
Phyciodes texana,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Texan crescent,Summer,2020 Summer,14,14
Phyciodes texana,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Texan crescent,Summer,2019 Summer,18,18
Phyciodes texana,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Texan crescent,Spring,2020 Spring,57,57
Phyciodes texana,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Texan crescent,Summer,2020 Summer,3,3
Phyciodes texana,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Texan crescent,Summer,2019 Summer,4,4
Phyciodes texana,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Texan crescent,Fall,2019 Fall,9,9
Phyciodes texana,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Texan crescent,Summer,2020 Summer,17,17
Phyciodes tharos,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Pearl crescent,Summer,2019 Summer,24,24
Phyciodes tharos,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Pearl crescent,Summer,2020 Summer,3,3
Phyciodes mylitta,PortalAZ,2019,07/25/2019,AZ,4,206,Mylitta crescent,Summer,2019 Summer,6,6
Phyciodes mylitta,PortalAZ,2020,08/02/2020,AZ,21,215,Mylitta crescent,Summer,2020 Summer,1,1
Phyciodes mylitta,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Mylitta crescent,Summer,2020 Summer,4,4
Phyciodes mylitta,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Mylitta crescent,Summer,2019 Summer,1,1
Phyciodes mylitta,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Mylitta crescent,Spring,2020 Spring,24,24
Pieris brassicae,Cottonwood,2020,08/26/2020,AZ,20,239,Cabbage white,Summer,2020 Summer,23,23
Pieris brassicae,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Cabbage white,Summer,2019 Summer,10,10
Pieris brassicae,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Cabbage white,Summer,2019 Summer,2,2
Pieris brassicae,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Cabbage white,Summer,2020 Summer,4,4
Pieris sisymbrii,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Spring white,Spring,2020 Spring,2,2
Piruna cingo,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Many-spotted skipperling,Summer,2020 Summer,1,1
Piruna polingii,PortalAZ,2019,07/25/2019,AZ,4,206,Four-spotted skipperling,Summer,2019 Summer,11,11
Piruna polingii,PortalAZ,2020,08/02/2020,AZ,21,215,Four-spotted skipperling,Summer,2020 Summer,41,41
Piruna polingii,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Four-spotted skipperling,Summer,2019 Summer,2,2
Piruna polingii,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Four-spotted skipperling,Summer,2020 Summer,31,31
Plebejus acmon,Cottonwood,2019,08/29/2019,AZ,11,241,Acmon blue,Summer,2019 Summer,1,1
Plebejus acmon,Cottonwood,2020,08/26/2020,AZ,20,239,Acmon blue,Summer,2020 Summer,7,7
Plebejus acmon,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Acmon blue,Summer,2019 Summer,4,4
Plebejus acmon,PortalAZ,2019,07/25/2019,AZ,4,206,Acmon blue,Summer,2019 Summer,4,4
Plebejus acmon,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Acmon blue,Summer,2020 Summer,1,1
Plebejus acmon,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Acmon blue,Summer,2019 Summer,6,6
Plebejus acmon,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Acmon blue,Spring,2020 Spring,6,6
Plebejus acmon,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Acmon blue,Fall,2019 Fall,1,1
Plebejus acmon,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Acmon blue,Summer,2020 Summer,1,1
Poanes taxiles,PortalAZ,2019,07/25/2019,AZ,4,206,Taxiles skipper,Summer,2019 Summer,138,138
Poanes taxiles,PortalAZ,2020,08/02/2020,AZ,21,215,Taxiles skipper,Summer,2020 Summer,97,97
Poanes taxiles,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Taxiles skipper,Summer,2019 Summer,9,9
Poanes taxiles,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Taxiles skipper,Summer,2020 Summer,45,45
Poanes taxiles,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Taxiles skipper,Summer,2019 Summer,75,75
Poanes taxiles,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Taxiles skipper,Summer,2020 Summer,7,7
Poanes taxiles,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Taxiles skipper,Summer,2019 Summer,52,52
Poanes taxiles,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Taxiles skipper,Summer,2020 Summer,42,42
Polites draco,GrandCanyonN,2019,07/25/2019,AZ,6,206,Draco skipper,Summer,2019 Summer,3,3
Polites carus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Carus skipper,Summer,2019 Summer,4,4
Polites carus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Carus skipper,Summer,2020 Summer,1,1
Polites carus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Carus skipper,Summer,2019 Summer,2,2
Polygonia satyrus,PortalAZ,2019,07/25/2019,AZ,4,206,Satyr comma,Summer,2019 Summer,2,2
Polygonia satyrus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Satyr comma,Summer,2020 Summer,4,4
Polygonia satyrus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Satyr comma,Spring,2020 Spring,2,2
Polygonia satyrus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Satyr comma,Summer,2020 Summer,1,1
Polygonus leo,Cottonwood,2019,08/29/2019,AZ,11,241,Hammock skipper,Summer,2019 Summer,1,1
Polygonus leo,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Hammock skipper,Fall,2019 Fall,2,2
Pontia protodice,Cottonwood,2019,08/29/2019,AZ,11,241,Checkered white,Summer,2019 Summer,8,8
Pontia protodice,Cottonwood,2020,08/26/2020,AZ,20,239,Checkered white,Summer,2020 Summer,1,1
Pontia protodice,GrandCanyonN,2019,07/25/2019,AZ,6,206,Checkered white,Summer,2019 Summer,4,4
Pontia protodice,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Checkered white,Spring,2019 Spring,967,879
Pontia protodice,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Checkered white,Fall,2019 Fall,1,1
Pontia protodice,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Checkered white,Spring,2020 Spring,161,151
Pontia protodice,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,Checkered white,Spring,2021 Spring,2,2
Pontia protodice,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Checkered white,Fall,2021 Fall,21,20
Pontia protodice,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Checkered white,Summer,2019 Summer,4,4
Pontia protodice,PortalAZ,2019,07/25/2019,AZ,4,206,Checkered white,Summer,2019 Summer,10,10
Pontia protodice,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Checkered white,Summer,2019 Summer,15,15
Pontia protodice,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Checkered white,Summer,2020 Summer,28,28
Pontia protodice,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Checkered white,Summer,2019 Summer,2,2
Pontia protodice,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Checkered white,Spring,2020 Spring,275,275
