"lat","lon","elev"
37.970077,-119.267337,3070
31.970527,-112.776263,554
37.769421,-122.486214,55
38.30524,-123.058297,0
34.049202,-116.570779,784
37.795833,-122.3985,0
37.676862,-122.389603,0
38.265702,-121.439292,2
37.690751,-122.421586,73
33.905755,-107.506713,2654
33.880463,-112.141056,589
33.995872,-118.26506,56
37.562992,-122.325525,9
38.57933,-122.70525,432
48.735835,-116.859828,777
31.70707,-110.86763,2056
37.875331,-121.924177,1078
37.396782,-121.801452,183
37.023594,-121.969912,183
37.933036,-122.195639,172
34.118509,-117.636658,451
32.811158,-117.200305,89
34.017816,-118.288534,65
38.901182,-121.121544,327
34.048438,-116.568912,784
33.983855,-118.46698,0
32.670555,-117.244902,0
33.750274,-117.68705,303
33.874369,-118.295356,13
38.867787,-120.067131,2401
34.156007,-118.31139,151
33.691389,-117.7725,48
32.210905,-110.837579,801
34.130558,-118.546155,425
48.504558,-120.769118,1951
34.171101,-118.043823,303
37.673412,-122.402787,223
32.950952,-112.703197,220
37.964738,-122.626176,218
38.048605,-119.258968,2998
33.790096,-118.25789,9
33.8987,-117.507433,226
37.76572,-122.469345,86
37.09923,-122.274464,154
41.89085,-111.631025,2449
31.54792,-110.141292,1238
34.767003,-106.760345,1477
33.280098,-111.159047,755
33.970375,-117.327271,326
39.275144,-121.103281,606
34.729287,-118.696053,1624
38.694213,-122.788979,144
36.587698,-121.933177,154
37.971132,-119.266117,3289
43.994219,-122.955719,195
36.983972,-122.027552,7
38.491702,-122.029062,51
31.928498,-110.004148,1562
34.202038,-118.212219,423
38.564312,-123.012169,395
33.966531,-112.445623,892
37.952839,-121.822266,146
33.844884,-118.371643,23
38.655101,-121.206158,53
45.713995,-123.29608,381
40.672227,-111.769842,1862
34.654044,-119.993324,359
39.903884,-119.995028,1424
34.017557,-118.287714,65
37.923533,-122.198853,290
38.611746,-122.781955,42
33.97287,-118.279696,43
48.703429,-122.57752,0
41.344137,-106.301961,3286
38.646176,-121.208564,44
37.815834,-122.04528,336
31.741107,-110.887184,1418
31.706895,-110.863388,2051
37.12007,-121.485603,510
31.725836,-110.875798,1484
37.694993,-122.411513,121
36.958492,-122.059028,54
34.134721,-118.287826,166
36.519738,-121.94952,69
44.427968,-110.588454,2442
34.500757,-119.349705,466
39.371626,-120.271759,2023
34.3801,-119.300863,109
37.79745,-122.453842,33
35.237016,-112.213442,2113
35.050605,-109.804625,1722
33.95913,-109.513307,2875
34.191442,-118.154128,350
37.183023,-122.338514,92
32.244013,-111.168174,876
41.564798,-123.312657,1709
37.147778,-121.774641,303
