"","reps","median","low","up","prob"
"",52,-0.016,-0.046,0.015,0.854
"",52,-0.019,-0.05,0.011,0.89
"",52,-0.019,-0.045,0.006,0.934
"",52,-0.013,-0.041,0.017,0.81
"",52,-0.014,-0.042,0.015,0.838
"",52,-0.018,-0.05,0.013,0.88
"",52,-0.013,-0.043,0.017,0.814
"",52,-0.027,-0.054,-0.001,0.976
"",52,-0.01,-0.04,0.019,0.755
"",52,-0.033,-0.06,-0.007,0.993
"",52,-0.014,-0.041,0.013,0.848
"",62,-0.02,-0.046,0.006,0.93
"",62,-0.017,-0.042,0.009,0.911
"",62,-0.018,-0.044,0.008,0.916
"",62,-0.02,-0.046,0.005,0.946
"",62,-0.015,-0.042,0.01,0.878
"",62,-0.019,-0.045,0.007,0.921
"",62,-0.021,-0.047,0.005,0.946
"",62,-0.016,-0.042,0.01,0.888
"",62,-0.017,-0.043,0.008,0.904
"",62,-0.017,-0.043,0.009,0.905
"",62,-0.015,-0.041,0.01,0.881
"",62,-0.01,-0.035,0.015,0.776
"",62,-0.014,-0.039,0.012,0.864
"",62,-0.016,-0.042,0.009,0.898
"",62,-0.018,-0.043,0.007,0.925
"",62,-0.015,-0.04,0.011,0.875
"",62,-0.018,-0.043,0.007,0.926
"",62,-0.015,-0.042,0.01,0.876
"",62,-0.013,-0.039,0.012,0.851
"",62,-0.022,-0.044,0.001,0.968
"",62,-0.018,-0.043,0.007,0.923
"",62,-0.015,-0.041,0.011,0.88
"",62,-0.01,-0.034,0.015,0.781
"",62,-0.014,-0.041,0.011,0.853
"",62,-0.019,-0.045,0.008,0.923
"",62,-0.019,-0.044,0.008,0.921
"",62,-0.02,-0.047,0.005,0.936
"",62,-0.017,-0.043,0.007,0.91
"",62,-0.018,-0.045,0.009,0.913
"",62,-0.02,-0.045,0.005,0.94
"",62,-0.022,-0.048,0.003,0.951
"",62,-0.026,-0.049,-0.003,0.987
"",62,-0.017,-0.041,0.008,0.912
"",62,-0.019,-0.046,0.007,0.92
"",62,-0.016,-0.041,0.009,0.896
"",62,-0.021,-0.048,0.005,0.941
"",62,-0.02,-0.046,0.006,0.942
