"","reps","median","low","up","prob"
"",42,-0.015,-0.043,0.015,0.829
"",42,-0.022,-0.05,0.006,0.941
"",42,0.001,-0.025,0.024,0.534
"",42,-0.017,-0.045,0.012,0.875
"",42,-0.021,-0.054,0.009,0.915
"",42,-0.02,-0.049,0.006,0.926
"",42,-0.01,-0.035,0.018,0.768
"",42,-0.013,-0.041,0.018,0.825
"",42,-0.012,-0.039,0.016,0.792
"",42,-0.016,-0.044,0.013,0.862
"",42,-0.016,-0.045,0.01,0.879
"",42,-0.02,-0.047,0.01,0.908
"",42,-0.022,-0.05,0.005,0.946
"",42,-0.015,-0.044,0.012,0.863
"",42,-0.015,-0.046,0.014,0.842
"",42,-0.02,-0.052,0.008,0.909
"",42,-0.027,-0.055,0,0.972
"",42,-0.022,-0.049,0.004,0.954
"",42,-0.02,-0.049,0.01,0.904
"",42,-0.02,-0.052,0.009,0.906
"",42,-0.017,-0.046,0.013,0.862
"",42,-0.007,-0.034,0.021,0.694
"",42,-0.022,-0.049,0.005,0.946
"",42,-0.018,-0.048,0.01,0.893
"",42,-0.009,-0.039,0.019,0.741
"",42,-0.027,-0.057,0,0.966
"",42,-0.02,-0.048,0.008,0.918
"",42,-0.015,-0.046,0.014,0.861
"",42,-0.017,-0.043,0.012,0.879
"",42,-0.025,-0.058,0.005,0.945
"",42,-0.011,-0.037,0.015,0.801
"",42,-0.016,-0.041,0.012,0.88
"",42,-0.015,-0.044,0.013,0.843
"",42,-0.024,-0.057,0.002,0.952
"",42,-0.023,-0.055,0.006,0.939
"",42,-0.024,-0.052,0.004,0.955
"",42,-0.015,-0.039,0.012,0.877
"",42,-0.015,-0.042,0.016,0.848
"",42,-0.023,-0.051,0.005,0.942
"",42,-0.01,-0.033,0.016,0.77
"",42,-0.013,-0.039,0.017,0.822
"",42,-0.016,-0.044,0.012,0.866
"",42,-0.016,-0.047,0.014,0.859
"",42,-0.024,-0.056,0.007,0.939
"",42,-0.011,-0.038,0.016,0.789
"",42,-0.029,-0.059,-0.001,0.976
"",42,-0.01,-0.038,0.016,0.775
"",42,-0.017,-0.043,0.011,0.891
"",42,-0.02,-0.051,0.008,0.906
"",42,-0.012,-0.038,0.014,0.815
"",42,-0.023,-0.052,0.004,0.952
"",42,-0.015,-0.047,0.012,0.841
"",42,-0.026,-0.056,0.003,0.955
"",42,-0.02,-0.047,0.006,0.927
"",42,-0.004,-0.031,0.026,0.596
"",42,-0.009,-0.037,0.021,0.72
"",42,-0.015,-0.046,0.013,0.849
"",42,-0.013,-0.042,0.015,0.829
"",42,-0.007,-0.034,0.02,0.72
"",42,-0.018,-0.05,0.011,0.883
"",42,-0.026,-0.056,0.004,0.955
"",42,-0.009,-0.034,0.017,0.76
"",42,-0.017,-0.046,0.01,0.896
"",42,-0.018,-0.045,0.009,0.905
"",42,-0.019,-0.045,0.007,0.917
"",42,-0.017,-0.048,0.013,0.876
"",42,-0.017,-0.043,0.011,0.898
"",42,-0.029,-0.058,0,0.977
"",42,-0.023,-0.055,0.007,0.933
"",42,-0.015,-0.045,0.014,0.852
"",42,-0.006,-0.033,0.019,0.671
"",42,-0.017,-0.046,0.013,0.873
"",42,-0.022,-0.049,0.005,0.947
"",42,-0.023,-0.051,0.008,0.94
"",42,-0.008,-0.035,0.02,0.724
"",42,-0.011,-0.041,0.017,0.786
"",42,-0.026,-0.053,0.002,0.971
"",42,-0.019,-0.049,0.011,0.896
"",42,-0.013,-0.041,0.014,0.818
"",52,-0.007,-0.029,0.013,0.73
"",52,-0.011,-0.034,0.012,0.832
"",52,-0.007,-0.027,0.014,0.742
"",52,-0.012,-0.035,0.012,0.847
"",52,-0.022,-0.046,0.002,0.96
"",52,-0.016,-0.041,0.011,0.878
"",52,-0.009,-0.03,0.013,0.803
"",52,-0.012,-0.037,0.011,0.848
"",52,-0.019,-0.043,0.005,0.94
"",52,-0.023,-0.048,0,0.979
"",52,-0.016,-0.038,0.008,0.91
"",52,-0.019,-0.043,0.005,0.926
"",52,-0.01,-0.033,0.013,0.802
"",52,-0.023,-0.046,0.002,0.967
"",52,-0.013,-0.035,0.009,0.865
"",52,-0.015,-0.035,0.008,0.907
"",52,-0.017,-0.039,0.008,0.902
"",52,-0.007,-0.028,0.016,0.732
"",52,-0.02,-0.042,0.004,0.951
"",52,-0.013,-0.037,0.01,0.857
"",52,-0.019,-0.044,0.004,0.942
"",52,-0.02,-0.047,0.002,0.948
"",52,-0.018,-0.042,0.006,0.936
"",52,-0.011,-0.031,0.013,0.826
